event_id,percent_coverage,texp_sched (ks),tiles_to_90pct,tiles_total,visit_total
14,99.99999643326714,0.3,1,1,2
106,96.28315471049936,2.8664877558147697,3,4,2
127,99.90963016419884,0.3,1,3,2
159,99.99995906859712,7.751826644305534,1,2,2
329,99.99973726163856,2.946424418422205,1,1,2
498,99.99999672330304,3.891926853102844,1,2,2
560,98.87852105772616,0.3722939407872963,5,5,2
601,99.99901308441096,0.3,2,4,2
800,99.07643801962357,10.70729371312653,3,3,2
857,99.99078772076088,3.5653423508496864,1,1,2
1223,100.00000000000028,0.3,1,13,2
1229,95.12629141327838,1.5456051625386569,7,8,2
1263,95.7796208740263,9.839642869255645,3,5,2
1679,99.9145670008186,13.217556297898142,1,1,2
1762,94.78299684650756,13.324339154747724,1,2,2
1800,93.29971120781228,2.7167742685611733,2,2,2
2054,100.00000000000024,0.4309978771631214,1,1,2
2138,99.99750959452469,0.5231341612765266,1,1,2
2286,99.680938127974,2.9642770542561103,3,3,2
2313,98.07415703303424,0.3,6,7,2
2352,91.06167199790444,12.871180982530197,3,3,2
2937,98.79035156794906,2.445113797872452,2,3,2
2959,99.98066018550146,0.7045367857942952,2,3,2
2987,98.98906146486212,9.536663749190486,1,1,2
3122,99.82445423832084,4.909073780526092,3,3,2
3236,99.99977702234446,1.8035866645416687,1,1,2
3246,100.00000000000033,0.3,1,1,2
3290,99.89443215872052,2.307693945149586,1,1,2
3320,99.937636214549,2.996609745594555,1,1,2
3378,100.0000000000008,0.3,20,22,2
3391,99.64537665478572,0.4940758664656841,1,2,2
3440,99.80902882917448,3.078440323987509,2,2,2
3501,99.039837638552,3.5749726619388924,1,2,2
3564,93.34975441643029,3.4561018697169152,3,3,2
3672,99.99849108277851,1.1168809645088644,2,2,2
3842,96.4112409487095,2.338632097267144,5,5,2
3860,99.91605780494724,0.3578842583837829,3,4,2
3880,96.71326046293176,2.664300369585876,4,4,2
3958,99.84924194166204,0.3,1,4,2
3987,99.99990083165542,0.6751700815042507,7,17,2
4032,98.45179267842592,5.903438402067403,3,3,2
4035,98.3955176037719,12.23786858184823,2,2,2
4054,99.62876061865808,0.3,5,7,2
4145,99.755692680439,6.285458141035469,2,2,2
4151,98.06701436746512,10.44599533756265,1,2,2
4604,99.49260007483365,0.3129377174297867,4,8,2
4704,99.99563815201935,4.397725383979913,1,1,2
4971,95.8866624807701,12.60487298810187,2,2,2
5137,100.00000000000011,0.3,1,5,2
5154,99.97860148995238,2.184146043261091,3,3,2
5183,99.7334736732808,0.8135599704634768,1,1,2
5282,94.64748518855274,1.7785778738457103,1,3,2
5450,96.42761830732266,0.3791122877080933,11,11,2
5578,98.58256181607958,5.076860994686616,3,3,2
5605,92.3921054476858,3.182445935262129,4,4,2
5612,99.5804521143875,2.121553840187812,4,4,2
5751,99.9999999999999,0.3,1,1,2
5774,99.99803162769231,0.7693953372670528,1,4,2
6040,97.5255590117614,0.5657866297031449,1,1,2
6056,99.99999999999844,0.3,1,2,2
6147,99.99982422393472,7.515733830264352,3,3,2
6222,99.9999918903585,0.3193436090587259,8,21,2
6241,99.99302866882329,4.221932677278425,1,2,2
6264,99.03216261569996,9.831340019446264,1,3,2
